user_id,item_id,rating
10,96,1
10,31,4
7,21,2
10,47,3
7,51,5
9,67,4
5,49,5
8,80,5
10,23,2
7,78,1
8,10,3
7,77,1
2,48,2
8,25,4
4,36,2
5,20,3
8,15,2
9,24,2
9,63,2
6,15,5
7,94,4
10,47,1
6,11,3
1,42,1
1,10,3
1,78,1
2,48,5
6,72,1
6,49,1
5,49,3
4,19,5
10,79,2
6,12,5
7,15,2
4,30,2
9,84,3
1,49,1
5,28,3
1,38,3
5,31,1
8,79,5
7,52,2
6,16,5
5,23,2
5,38,3
8,8,1
7,88,2
2,30,2
4,39,2
4,47,2
10,83,2
3,55,1
2,79,4
3,95,2
10,32,1
6,92,3
2,13,4
7,69,3
2,53,1
9,7,5
1,2,1
9,83,5
10,57,3
10,43,1
9,88,4
3,53,4
6,74,4
10,57,1
9,27,1
4,100,1
1,53,4
8,35,3
3,36,5
5,87,4
10,17,4
6,63,2
1,61,5
5,65,1
1,39,1
3,65,1
3,74,5
8,69,5
5,34,1
8,71,5
4,28,3
7,7,5
2,76,1
5,34,2
6,92,4
9,59,5
4,18,1
5,57,5
2,15,4
6,96,1
9,54,2
8,40,4
4,76,4
4,24,3
5,56,2
7,79,4
3,38,5
9,95,3
10,4,4
7,25,5
7,83,2
9,87,1
4,84,1
6,67,5
1,15,2
3,59,1
2,28,5
1,34,2
5,87,3
3,54,1
2,87,5
4,73,2
4,15,5
9,10,2
3,75,5
7,38,4
6,93,1
10,96,5
8,80,1
3,15,2
6,12,3
5,10,2
10,49,1
6,59,1
8,90,3
3,5,3
7,32,1
6,54,1
9,68,2
5,52,5
7,79,1
4,79,5
9,26,3
4,5,3
8,1,5
9,56,2
2,23,5
6,97,3
5,85,5
1,80,3
9,71,1
6,95,3
7,40,2
3,28,4
3,1,1
4,65,4
6,32,4
7,44,4
2,67,1
3,13,5
4,98,1
4,11,2
9,15,1
3,40,4
7,18,5
7,46,3
8,13,4
7,59,3
3,66,2
7,69,2
2,58,4
4,12,3
10,2,4
6,19,2
3,64,4
4,92,3
2,67,2
7,75,3
2,94,5
2,7,4
5,36,2
7,13,1
7,59,4
9,41,2
1,45,3
1,64,1
10,89,3
3,85,5
5,37,3
10,5,5
5,11,3
6,2,5
7,95,3
10,44,5
1,54,2
9,27,3
5,51,4
6,10,5
4,22,5
4,32,3
2,76,2
9,77,2
9,93,2
6,40,1
5,29,4
4,19,1
5,78,5
7,31,3
4,64,1
8,94,3
7,99,4
4,9,3
2,3,4
3,8,1
2,22,1
1,85,5
3,34,2
3,27,1
7,16,2
1,17,3
1,100,1
4,91,2
10,9,5
8,100,2
8,71,4
8,28,4
8,53,1
7,21,2
1,99,2
6,76,2
1,85,1
8,95,4
6,62,3
10,100,5
9,91,5
9,52,4
9,95,4
9,50,1
10,75,3
10,45,4
2,85,2
8,87,1
6,77,1
8,95,1
4,48,2
8,32,3
3,73,4
1,75,1
9,66,3
9,44,5
4,30,1
2,45,4
7,100,1
1,17,5
7,32,1
3,87,4
7,47,1
5,34,3
5,82,5
5,95,3
3,90,2
9,64,3
7,8,5
7,83,4
2,77,1
8,66,3
5,31,4
7,13,3
7,98,4
6,69,4
6,44,5
6,67,3
5,13,4
1,98,5
10,58,1
2,45,2
5,2,1
5,93,3
6,63,1
7,43,4
10,36,2
10,28,5
10,65,4
9,98,1
5,27,1
6,19,2
4,100,2
3,43,2
4,48,2
3,91,5
6,57,3
3,20,2
6,66,1
8,5,1
4,14,2
5,6,4
1,84,1
10,36,4
8,48,2
6,69,2
5,76,3
8,55,4
7,37,3
1,71,2
9,56,1
5,69,5
4,5,2
7,49,1
4,73,4
6,62,1
7,98,3
10,61,3
7,42,1
3,96,3
2,59,4
4,80,4
2,27,4
9,75,2
9,33,1
7,86,4
6,17,1
4,91,5
1,49,2
2,8,4
7,77,5
2,30,3
2,85,4
8,70,1
8,56,1
8,29,1
5,23,5
1,90,1
2,80,1
9,11,3
9,3,5
7,67,3
2,40,4
1,95,3
5,93,3
1,3,2
4,96,2
10,39,3
10,42,4
8,29,4
8,20,1
10,7,1
1,55,2
1,51,4
7,57,4
6,76,1
5,35,1
10,41,5
8,58,5
1,76,4
10,27,5
6,32,1
2,39,4
5,19,3
2,59,2
3,20,1
2,33,2
8,87,3
2,70,4
4,97,4
10,35,1
9,64,3
8,58,5
9,74,2
7,29,2
3,69,3
7,80,1
9,87,2
4,67,1
1,83,1
6,85,2
4,31,5
3,79,4
8,69,4
10,68,1
9,2,5
7,13,5
6,13,5
8,90,4
1,14,4
1,11,3
7,14,5
5,94,2
10,74,5
7,89,4
8,61,4
4,89,1
8,99,2
2,71,1
10,14,2
9,66,3
7,53,5
6,87,5
7,70,3
8,30,4
8,58,1
10,63,1
1,98,2
10,42,3
4,33,2
9,52,3
5,40,1
4,67,3
2,71,4
7,1,4
6,45,2
1,95,1
6,19,4
10,87,1
2,66,3
4,44,3
4,52,1
5,97,3
9,68,1
5,55,5
4,6,2
8,69,2
10,59,4
6,32,2
6,46,2
4,60,3
5,100,3
2,69,3
9,87,1
5,6,4
3,92,1
2,9,5
6,24,2
5,25,4
2,43,1
6,49,5
7,42,3
3,7,1
9,65,5
2,32,5
7,92,1
8,79,4
6,14,5
7,84,1
3,73,5
4,52,2
8,53,1
1,64,2
8,64,3
1,50,1
5,62,1
5,22,5
1,53,2
10,29,4
9,14,2
9,28,1
2,75,2
4,42,1
7,74,1
2,42,2
2,38,5
3,93,4
1,79,3
10,27,3
10,51,1
8,75,2
9,63,1
8,90,2
5,50,2
7,77,2
9,30,4
7,7,1
8,45,5
10,92,4
5,90,3
1,34,2
4,38,1
10,51,3
1,67,5
10,88,4
5,100,1
8,25,1
8,5,4
3,54,2
8,58,5
1,36,1
7,56,1
6,73,5
7,62,3
3,75,4
6,85,3
5,73,5
3,9,4
8,100,5
3,13,3
5,60,1
4,15,1
3,85,5
7,97,1
2,63,2
5,35,1
6,72,3
9,17,2
8,27,3
7,76,4
7,34,2
1,98,5
9,73,5
10,60,5
6,18,4
2,10,5
7,55,1
6,25,3
8,55,1
7,1,2
1,40,1
6,25,2
4,45,2
4,56,5
7,29,5
3,19,1
6,34,3
3,35,1
4,22,3
6,62,2
7,49,1
7,16,3
2,9,2
9,69,4
10,11,5
4,44,5
10,61,4
9,94,1
5,93,1
9,81,3
6,86,2
5,69,2
3,24,1
7,3,5
6,89,2
6,12,3
6,46,1
10,41,5
5,76,1
1,82,4
8,54,4
10,10,4
4,97,2
9,83,5
1,61,4
9,86,1
8,80,1
10,58,2
9,50,1
4,96,1
8,9,1
10,23,2
6,52,1
5,12,1
6,64,1
3,56,2
1,2,1
2,41,5
3,82,4
5,56,4
10,93,1
4,83,1
6,91,5
7,7,3
2,70,3
8,74,1
1,94,4
1,79,5
8,6,1
8,46,3
6,100,4
4,40,2
4,20,3
7,46,2
9,61,5
10,86,1
1,67,4
7,51,4
1,68,2
5,67,2
3,80,3
5,17,3
1,39,5
7,37,4
1,74,1
9,67,3
9,56,1
1,33,3
6,33,1
9,43,4
1,36,1
4,45,2
9,4,5
10,38,5
3,21,2
2,61,2
6,66,5
6,66,5
9,71,2
9,30,2
9,60,5
4,80,5
1,40,3
2,9,1
3,13,2
4,91,1
7,83,5
7,37,4
6,66,5
6,16,1
1,37,1
1,13,4
5,68,2
2,88,5
5,14,4
3,53,5
5,72,1
10,91,5
7,60,2
6,42,3
5,92,5
8,60,3
4,64,2
9,89,3
4,1,5
7,81,5
10,39,3
9,79,2
10,37,1
10,30,1
7,39,3
8,96,1
3,8,1
1,67,3
8,67,3
4,90,3
10,74,2
5,23,2
7,33,4
1,32,1
8,3,5
4,48,1
3,60,5
4,8,4
9,97,3
8,4,3
6,73,5
2,17,3
9,46,5
5,7,2
7,3,2
10,30,5
8,87,1
1,90,3
9,77,2
7,59,2
2,10,2
5,14,3
1,51,2
10,71,4
1,2,3
8,6,5
2,35,2
3,3,3
6,36,5
8,37,4
6,75,4
2,85,2
6,59,1
10,60,2
10,64,2
1,94,2
2,91,1
1,56,2
9,21,3
9,31,2
9,1,5
5,70,2
5,4,4
10,57,5
3,81,3
2,80,5
10,37,4
5,87,3
7,14,2
10,95,4
10,77,2
4,9,4
6,7,4
9,50,1
7,94,4
8,49,3
1,76,5
7,32,2
6,48,5
1,47,4
8,28,1
5,98,1
10,99,3
4,19,1
9,32,1
3,35,2
7,87,4
7,73,2
8,44,4
2,64,5
1,54,1
5,3,5
5,27,5
4,56,1
4,54,1
10,85,2
9,87,2
1,42,2
1,57,5
3,47,1
5,43,3
10,8,3
8,78,1
9,20,3
7,22,5
9,94,3
10,28,5
1,97,4
2,34,4
1,67,3
6,90,5
4,78,2
2,66,3
9,60,5
5,36,1
5,43,3
5,87,5
2,15,5
3,48,4
6,67,3
7,93,2
5,16,2
10,84,1
6,99,1
2,66,5
9,84,4
6,21,4
3,4,1
8,84,3
7,39,3
6,59,3
4,98,1
10,93,4
7,59,3
5,85,4
1,19,1
2,14,5
3,45,3
10,97,5
8,3,5
8,45,2
5,84,3
2,6,2
7,40,3
1,20,2
1,80,2
4,39,2
9,66,3
6,90,2
7,35,4
2,53,4
1,88,5
4,7,4
10,6,5
2,89,3
6,94,4
6,76,4
9,60,1
6,60,4
1,48,2
2,25,4
9,3,4
3,33,4
1,56,5
3,82,5
5,85,2
7,98,5
2,64,3
6,37,2
9,44,3
5,64,5
7,99,1
2,4,4
6,29,4
6,14,2
4,98,5
5,98,5
8,93,4
5,11,4
9,2,3
6,16,1
3,21,3
5,3,5
7,81,3
4,72,2
1,56,4
8,36,4
9,58,2
8,8,1
3,8,4
4,76,2
4,17,3
5,24,5
6,12,2
3,83,5
3,87,4
10,83,4
5,85,5
6,9,2
8,98,1
4,70,3
7,20,5
3,75,4
3,98,4
3,23,2
4,59,3
10,57,1
8,65,3
5,94,5
8,67,1
1,20,4
2,30,5
10,36,1
5,96,3
6,80,1
3,99,3
6,87,2
9,93,3
8,17,2
1,59,3
9,74,5
10,75,3
3,40,4
7,89,2
10,50,4
4,21,2
4,56,1
7,45,1
8,93,4
10,99,4
6,25,2
5,65,1
4,63,2
5,75,4
5,29,2
2,38,3
10,38,2
1,27,5
9,77,4
1,18,1
8,87,1
2,36,3
4,33,4
1,75,3
5,28,3
10,64,4
8,41,2
10,43,1
1,28,1
1,81,1
2,42,4
4,57,1
6,7,3
9,23,5
4,13,5
9,92,3
2,67,5
7,20,4
3,68,3
1,77,1
6,41,1
1,26,2
1,89,5
9,18,5
10,73,1
5,17,3
7,11,2
5,7,5
2,54,1
9,66,3
7,29,1
10,49,2
9,77,3
5,35,5
5,93,1
6,39,4
3,51,2
2,64,1
9,80,3
6,33,3
1,28,3
4,77,2
1,83,5
1,19,5
5,36,3
6,56,3
2,93,1
4,75,2
2,23,3
6,60,3
8,15,1
3,72,4
6,97,4
7,1,5
9,15,3
10,10,1
4,55,1
6,38,3
6,59,4
8,36,5
7,97,1
10,99,3
9,69,3
4,30,3
5,15,2
4,13,4
7,2,1
1,78,5
8,79,3
2,42,1
2,76,2
1,62,3
1,27,2
5,26,1
5,30,4
9,67,2
2,13,1
3,81,5
6,77,5
9,76,2
6,69,1
7,17,1
5,9,5
6,81,1
9,17,3
4,39,4
7,36,2
2,69,2
2,72,3
10,97,4
7,45,3
10,21,3
1,45,5
1,79,3
6,64,1
5,48,2
1,54,3
5,44,3
2,6,2
1,4,2
8,16,4
9,31,3
4,11,2
4,28,2
3,66,1
10,67,2
8,51,3
10,88,2
8,75,4
7,9,2
9,89,3
3,51,4
7,49,1
7,38,5
5,80,5
8,84,5
10,24,2
4,59,3
4,13,1
1,62,5
5,42,1
6,43,4
7,34,1
9,67,1
4,41,1
9,88,1
1,34,3
6,18,2
7,68,3
9,14,3
9,5,1
4,34,2
7,73,5
2,82,3
2,40,5
2,72,3
7,74,4
9,100,2
10,33,4
2,31,3
8,26,4
4,78,1
8,15,2
5,79,4
7,81,3
2,17,4
